Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
1,Bryan Abreu,27,HOU,78.1,78,78,3,3,3,8,1,7,13%,46,38,28,8,29%,7,1.557,43,22,13,57,17,4,19,59,11,9,11,22,3.0,17,abreubr01
2,Jason Adam,32,TOT,73.2,74,74,10,7,2,8,4,4,50%,39,31,18,7,39%,,1.610,39,21,14,48,16,10,11,63,5,6,6,18,3.0,15,adamja01
3,Jason Adam,32,TBR,47.0,47,47,9,4,2,7,4,3,57%,26,19,8,4,50%,8,1.767,27,13,7,30,11,6,6,41,3,4,3,11,3.0,15,adamja01
4,Jason Adam,32,SDP,26.2,27,27,1,3,0,1,0,1,0%,13,12,10,3,30%,8,1.333,12,8,7,18,5,4,5,22,2,2,3,7,3.0,15,adamja01
5,Austin Adams,33,OAK,41.1,56,56,6,1,2,4,0,4,0%,26,22,32,10,31%,7,1.323,19,23,14,32,7,17,26,30,2,26,2,10,2.2,14,adamsau02
6,Ty Adcock,27,NYM,4.1,3,3,1,0,0,0,0,0,,1,1,3,0,0%,8,.370,1,0,2,1,0,2,2,1,2,0,2,0,4.3,29,adcocty01
7,Joan Adon,25,WSN,10.2,8,7,5,0,0,0,0,0,,0,0,4,1,25%,9,.533,0,1,6,2,0,5,2,5,2,2,2,1,2.9,15,adonjo01
8,Keegan Akin*,29,BAL,78.2,66,66,21,3,1,4,1,3,25%,10,6,37,13,35%,7,.726,14,15,37,24,8,34,21,45,25,18,28,11,3.6,19,akinke01
9,Jorge Alcalá,28,MIN,58.1,54,54,5,4,3,1,0,1,0%,17,16,25,7,28%,7,1.238,25,13,16,24,12,18,18,36,13,11,13,12,3.2,17,alcaljo01
10,Scott Alexander*,34,OAK,38.2,45,45,9,1,3,3,0,3,0%,13,10,25,8,32%,7,1.442,21,6,18,18,10,17,17,28,2,15,5,5,2.6,13,alexasc02
11,Tyler Alexander*,29,TBR,107.2,23,14,1,5,3,0,0,0,,0,0,7,0,0%,3,.812,2,11,1,4,7,3,3,11,14,0,14,0,13.3,67,alexaty01
12,Kolby Allard*,26,PHI,27.0,7,3,0,0,0,0,0,0,,0,0,2,0,0%,5,.864,0,1,2,1,0,2,1,2,3,0,3,0,10.0,55,allarko01
13,Logan Allen*,27,ARI,28.0,12,12,4,0,1,1,1,0,100%,2,1,6,4,67%,7,.419,1,3,8,2,1,9,4,8,8,2,9,1,7.0,39,allenlo01
14,Yency Almonte,30,CHC,15.2,17,17,2,1,0,2,1,1,50%,8,6,6,1,17%,8,1.214,5,4,8,12,1,4,4,13,3,5,5,3,2.8,16,almonye01
15,Dan Altavilla,31,KCR,3.2,5,4,0,0,0,0,0,0,,0,0,3,0,0%,7,.662,0,0,4,0,0,4,1,3,0,2,1,1,2.5,14,altavda01
16,José Alvarado*,29,PHI,61.2,66,66,21,2,5,16,13,3,81%,26,10,8,0,0%,8,1.368,31,9,26,39,13,14,7,59,0,9,0,11,2.8,16,alvarjo03
17,Eddy Alvarez,34,NYM,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,13,alvared01
18,Adbert Alzolay,29,CHC,17.1,18,18,11,1,4,9,4,5,44%,11,1,6,1,17%,9,1.920,9,3,6,14,1,3,5,13,2,3,3,3,2.9,18,alzolad01
19,Chase Anderson,36,TOT,58.1,29,28,23,0,1,3,3,0,100%,3,0,7,5,71%,,.291,2,1,25,5,2,21,4,24,17,1,17,2,6.1,34,anderch01
20,Chase Anderson,36,BOS,52.0,27,26,22,0,1,3,3,0,100%,3,0,5,3,60%,7,.298,2,0,24,5,2,19,3,23,15,1,15,2,5.8,32,anderch01
21,Chase Anderson,36,TEX,6.1,2,2,1,0,0,0,0,0,,0,0,2,2,100%,6,.241,0,1,1,0,0,2,1,1,2,0,2,0,9.5,66,anderch01
22,Grant Anderson,27,TEX,26.2,23,23,10,0,1,2,1,1,50%,3,1,27,8,30%,8,.549,4,4,15,8,0,15,15,8,8,8,11,3,3.5,21,andergr01
23,Justin Anderson,31,CHW,53.1,56,56,14,1,2,6,1,5,17%,13,5,36,11,31%,7,1.112,20,13,23,21,6,29,20,36,12,16,13,11,2.9,17,anderju01
24,Nick Anderson,33,KCR,35.2,37,37,19,3,1,1,1,0,100%,3,2,6,2,33%,8,.484,2,5,30,12,2,23,4,33,2,5,3,5,2.9,15,anderni01
25,Shaun Anderson,29,TOT,16.1,6,4,3,0,0,0,0,0,,0,0,6,0,0%,,.476,0,1,3,1,0,3,2,2,3,1,3,0,8.3,34,andersh01
26,Shaun Anderson,29,TEX,3.1,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.235,0,1,1,0,0,2,0,2,1,1,1,0,5.0,28,andersh01
27,Shaun Anderson,29,MIA,13.0,4,2,2,0,0,0,0,0,,0,0,6,0,0%,7,.536,0,0,2,1,0,1,2,0,2,0,2,0,11.5,41,andersh01
28,Clayton Andrews*,27,NYY,0.1,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.713,0,1,0,0,0,1,0,1,0,1,0,0,1.0,15,andrecl02
29,Matt Andriese,34,MIA,6.0,4,4,4,0,1,0,0,0,,0,0,0,0,,12,.886,1,0,3,1,1,2,1,3,2,0,2,1,4.5,22,andrima01
30,Tejay Antone,30,CIN,2.0,4,4,2,0,0,0,0,0,,0,0,0,0,,10,.974,0,2,2,2,0,2,1,3,0,2,0,1,1.5,15,antonte01
31,Shawn Armstrong,33,TOT,66.2,57,50,9,3,2,3,1,2,33%,8,5,17,4,24%,,.885,6,19,25,12,5,33,11,39,13,9,15,8,3.3,18,armstsh01
32,Shawn Armstrong,33,TOT,20.0,19,19,5,1,1,0,0,0,,2,2,8,0,0%,,.564,1,4,14,3,1,15,6,13,5,5,7,5,3.2,16,armstsh01
33,Shawn Armstrong,33,TBR,46.2,38,31,4,2,1,3,1,2,33%,6,3,9,4,44%,7,1.007,5,15,11,9,4,18,5,26,8,4,8,3,3.4,20,armstsh01
34,Shawn Armstrong,33,STL,12.2,11,11,3,1,0,0,0,0,,0,0,7,0,0%,8,.252,0,2,9,0,0,11,5,6,5,3,7,3,3.5,16,armstsh01
35,Shawn Armstrong,33,CHC,7.1,8,8,2,0,1,0,0,0,,2,2,1,0,0%,9,1.042,1,2,5,3,1,4,1,7,0,2,0,2,2.8,16,armstsh01
